position,texte,rien
1148,remporté,remporter
1149,ne,ne
1150,soit,soit
1151,dû,devoir
1152,pour,pour
1153,une,un
1154,bonne,bon
1155,part,part
1156,à,à
1157,un,un
1158,rejet,rejet
1159,du,du
1160,langage,langage
1161,politique,politique
1162,traditionnel,traditionnel
1163,et,et
1164,finalement,finalement
1165,un,un
1166,langage,langage
1167,auquel,auquel
1168,les,le
1169,sondages,sondage
1170,l,l
1171,indiquent,indiquer
1172,les,le
1173,français,français
1174,ne,ne
1175,semblent,sembler
1176,plus,plus
1177,beaucoup,beaucoup
1178,croire,croire
1179,.,.
1180,.,.
1181,.,.
1182,Je,je
1183,ne,ne
1184,présenterai,présenter
1185,pas,pas
1186,la,le
1187,question,question
1188,tout,tout
1189,à,à
1190,fait,fait
1191,de,de
1192,cette,ce
1193,façon,façon
1194,là,là
1195,.,.
1196,En,en
1197,revanche,revanche
1198,il,il
1199,y,y
1200,a,avoir
1201,une,un
1202,observation,observation
1203,à,à
1204,faire,faire
1205,en,en
1206,début,début
1207,de,de
1208,ce,ce
1209,débat,débat
1210,les,le
1211,français,français
1212,se,se
1213,sont,être
1214,exprimés,exprimer
1215,le,le
1216,avril,avril
1217,et,et
1218,dans,dans
1219,des,du
1220,conditions,condition
1221,qui,qui
1222,je,je
1223,crois,croire
1224,qu,qu
1225,on,on
1226,peut,pouvoir
1227,le,le
1228,dire,dire
1229,nous,nous
1230,ont,avoir
1231,surpris,surprendre
1232,d,d
1233,entre,entre
1234,eux,eux
1235,ont,avoir
1236,approuvé,approuver
1237,vos,votre
1238,propositions,proposition
1239,d,d
1240,entre,entre
1241,eux,eux
1242,ont,avoir
1243,approuvé,approuver
1244,ce,ce
1245,que,que
1246,mon,mon
1247,gouvernement,gouvernement
1248,ma,mon
1249,majorité,majorité
1250,avait,avoir
1251,fait,faire
1252,et,et
1253,proposé,proposer
1254,c,c
1255,est,être
1256,ce,ce
1257,que,que
1258,j,j
1259,incarne,incarner
1260,aujourd,aujourd
1261,hui,hui
1262,et,et
1263,ce,ce
1264,qui,qui
1265,est,être
1266,un,un
1267,nombre,nombre
1268,très,très
1269,important,important
1270,à,à
1271,gauche,gauche
1272,comme,comme
1273,à,à
1274,droite,droit|droite
1275,ont,avoir
1276,manifesté,manifester
1277,leur,leur
1278,mécontentement,mécontentement
1279,ou,ou
1280,leurs,leur
1281,inquiétudes,inquiétude
1282,.,.
1283,Ce,ce
1284,qui,qui
1285,est,être
1286,important,important
1287,aujourd,aujourd
1288,hui,hui
1289,c,c
1290,est,être
1291,d,d
1292,abord,abord
1293,de,de
1294,les,la|le
1295,entendre,entendre
1296,de,de
1297,les,la|le
1298,comprendre,comprendre
1299,et,et
1300,de,de
1301,leur,lui
1302,répondre,répondre
1303,car,car
1304,ce,ce
1305,mécontentement,mécontentement
1306,ou,ou
1307,ces,ce
1308,inquiétudes,inquiétude
1309,naturellement,naturellement
1310,ou,ou
1311,ces,ce
1312,questions,question
1313,qu,qu
1314,ils,il
1315,se,se
1316,posent,poser
1317,sont,être
1318,aussi,aussi
1319,légitimes,légitime
1320,que,que
1321,celles,celui
1322,de,de
1323,tous,tout
1324,les,le
1325,autres,autre
1326,français,français
1327,cela,cela
1328,va,aller
1329,de,de
1330,soi,soi
1331,|,|
1332,.,.
1333,.,.
1334,.,.
1335,C,c
1336,est,être
1337,la,le
1338,leçon,leçon
1339,que,que
1340,je,je
1341,tire,tirer
1342,de,de
1343,ce,ce
1344,avril,avril
1345,et,et
1346,probablement,probablement
1347,au,au
1348,cours,cour|cours
1349,de,de
1350,ce,ce
1351,débat,débat
1352,serons,être
1353,nous,nous
1354,amenés,amener
1355,à,à
1356,tenir,tenir
1357,compte,compte
1358,de,de
1359,cette,ce
1360,composante,composante
1361,nouvelle,nouveau
1362,de,de
1363,ce,ce
1364,nombre,nombre
1365,très,très
1366,important,important
1367,de,de
1368,nos,notre
1369,concitoyens,concitoyen
1370,qui,qui
1371,ne,ne
1372,se,se
1373,reconnaissent,reconnaître
1374,pas,pas
1375,dans,dans
1376,nos,notre
1377,projets,projet
1378,ou,ou
1379,dans,dans
1380,nos,notre
1381,préoccupations,préoccupation
1382,.,.
1383,Ce,ce
1384,qui,qui
1385,m,m
1386,a,avoir
1387,amusé,amuser
1388,c,c
1389,est,être
1390,la,le
1391,comparaison,comparaison
1392,entre,entre
1393,les,le
1394,et,et
1395,les,le
1396,où,où
1397,les,le
1398,français,français
1399,ne,ne
1400,se,se
1401,reconnaissent,reconnaître
1402,pas,pas
1403,très,très
1404,bien,bien
1405,.,.
1406,.,.
1407,.,.
1408,Ils,il
1409,ont,avoir
1410,voté,voter
1411,dimanche,dimanche
1412,dernier,dernier
1413,f,f
1414,.,.
1415,Mitterrand,mitterrand
1416,.,.
1417,.,.
1418,Un,un
1419,peu,peu
1420,moins,moins
1421,de,de
1422,j,j
1423,.,.
1424,Chirac,chirac
1425,.,.
1426,.,.
1427,Un,un
1428,peu,peu
1429,plus,plus
1430,de,de
1431,r,r
1432,.,.
1433,Barre,barre
1434,.,.
1435,.,.
1436,.,.
1437,C,c
1438,est,être
1439,cela,cela
1440,la,le
1441,réalité,réalité
1442,mais,mais
1443,enfin,enfin
1444,je,je
1445,ne,ne
1446,veux,vouloir
1447,pas,pas
1448,m,m
1449,arrêter,arrêter
1450,à,à
1451,ces,ce
1452,détails,détail
1453,ce,ce
1454,sont,être
1455,simplement,simplement
1456,des,du
1457,modes,mode
1458,de,de
1459,calcul,calcul
1460,un,un
1461,peu,peu
1462,particuliers,particulier
1463,.,.
1464,Quant,quant
1465,à,à
1466,l,l
1467,anti,anti
1468,cohabitation,cohabitation
1469,il,il
1470,ne,ne
1471,faut,falloir
1472,pas,pas
1473,mélanger,mélanger
1474,avec,avec
1475,le,le
1476,langage,langage
1477,ancien,ancien
1478,.,.
1479,.,.
1480,.,.
1481,C,c
1482,est,être
1483,une,un
1484,tout,tout
1485,autre,autre
1486,affaire,affaire
1487,cela,cela
1488,dépend,dépendre
1489,des,du
1490,hommes,homme
1491,de,de
1492,la,le
1493,façon,façon
1494,dont,dont
1495,ils,il
1496,parlent,parler
1497,.,.
1498,Si,si
1499,quelqu,quelqu
1500,un,un
1501,avait,avoir
1502,dû,devoir
1503,en,en
1504,profiter,profiter
1505,davantage,davantage
1506,plutôt,plutôt
1507,que,que
1508,le,le
1509,pen,pen
1510,cela,celer
1511,aurait,avoir
1512,été,être
1513,barre,barre
1514,qui,qui
1515,il,il
1516,faut,falloir
1517,le,le
1518,dire,dire
1519,dès,dès
1520,le,le
1521,premier,premier
1522,jour,jour
1523,avec,avec
1524,beaucoup,beaucoup
1525,de,de
1526,suite,suite
1527,dans,dans
1528,les,le
1529,idées,idée
1530,s,s
1531,est,être
1532,opposé,opposer
1533,à,à
1534,ce,ce
1535,choix,choix
1536,là,là
1537,.,.
1538,.,.
1539,.,.
1540,Or,or
1541,vous,vous
1542,n,n
1543,avez,avoir
1544,pas,pas
1545,prononcé,prononcer
1546,le,le
1547,nom,nom
1548,de,de
1549,barre,barre
1550,vous,vous
1551,avez,avoir
1552,prononcé,prononcer
1553,le,le
1554,nom,nom
1555,de,de
1556,le,le
1557,pen,pen
1558,.,.
1559,J,j
1560,ai,avoir
1561,l,l
1562,impression,impression
1563,qu,qu
1564,il,il
1565,y,y
1566,a,avoir
1567,un,un
1568,peu,peu
1569,de,de
1570,confusion,confusion
1571,dans,dans
1572,cette,ce
1573,affaire,affaire
1574,.,.
1575,Ceci,ceci
1576,étant,être
1577,aucun,aucun
1578,d,d
1579,entre,entre
1580,vous,vous
1581,ne,ne
1582,peut,pouvoir
1583,être,être
1584,élu,élire
1585,sans,sans
1586,une,un
1587,partie,partie
1588,plus,plus
1589,ou,ou
1590,moins,moins
1591,importante,important
1592,de,de
1593,l,l
1594,électorat,électorat
1595,de,de
1596,jean,jean
1597,marie,marie
1598,le,le
1599,pen,pen
1600,.,.
1601,Qu,qu
1602,êtes,être
1603,vous,vous
1604,prêt,prêt
1605,à,à
1606,faire,faire
1607,pour,pour
1608,l,l
1609,attirer,attirer
1610,et,et
1611,l,l
1612,attirerez,attirer
1613,vous,vous
1614,cette,ce
1615,partie,partie
1616,de,de
1617,l,l
1618,électorat,électorat
1619,.,.
1620,.,.
1621,.,.
1622,Moi,moi
1623,je,je
1624,n,n
1625,ai,avoir
1626,rien,rien
1627,à,à
1628,faire,faire
1629,.,.
1630,.,.
1631,.,.
1632,Je,je
1633,défends,défendre
1634,les,le
1635,idées,idée
1636,que,que
1637,j,j
1638,ai,avoir
1639,toujours,toujours
1640,affirmées,affirmer
1641,je,je
1642,ne,ne
1643,m,m
1644,adresse,adresse
1645,absolument,absolument
1646,pas,pas
1647,à,à
1648,un,un
1649,parti,parti
1650,politique,politique
1651,particulièrement,particulièrement
1652,notamment,notamment
1653,pas,pas
1654,à,à
1655,celui,celui
1656,là,là
1657,dont,dont
1658,les,le
1659,idées,idée
1660,et,et
1661,les,le
1662,projets,projet
1663,sont,être
1664,aux,au
1665,antipodes,antipode
1666,des,du
1667,miens,mien
1668,dans,dans
1669,les,le
1670,domaines,domaine
1671,que,que
1672,je,je
1673,connais,connaître
1674,je,je
1675,n,n
1676,ai,avoir
1677,donc,donc
1678,aucune,aucun
1679,raison,raison
1680,de,de
1681,faire,faire
1682,un,un
1683,appel,appel
1684,particulier,particulier
1685,à,à
1686,ce,ce
1687,public,public
1688,.,.
1689,Chacun,chacun
1690,chacune,chacun
1691,se,se
1692,reconnaîtra,reconnaître
