position,texte
2230,donnée
2231,par
2232,le
2233,comité
2234,d
2235,experts
2236,qui
2237,doit
2238,siéger
2239,dans
2240,les
2241,prisons
2242,.
2243,Sur
2244,les
2245,multi
2246,récidivistes
2247,vous
2248,avez
2249,été
2250,quatre
2251,ans
2252,ministre
2253,de
2254,l
2255,Intérieur
2256,.
2257,Pourquoi
2258,n
2259,avez-vous
2260,pas
2261,fait
2262,cette
2263,loi
2264,Elle
2265,est
2266,en
2267,effet
2268,nécessaire
2269,.
2270,Mais
2271,je
2272,pense
2273,que
2274,ce
2275,qui
2276,est
2277,plus
2278,urgent
2279,encore
2280,c
2281,est
2282,la
2283,question
2284,de
2285,la
2286,réponse
2287,au
2288,premier
2289,acte
2290,de
2291,délinquance
2292,.
2293,Or
2294,aujourd
2295,hui
2296,il
2297,n
2298,y
2299,a
2300,pas
2301,de
2302,réponse
2303,vous
2304,le
2305,savez
2306,au
2307,premier
2308,acte
2309,de
2310,délinquance
2311,.
2312,Pourquoi
2313,Parce
2314,que
2315,les
2316,magistrats
2317,n
2318,ont
2319,pas
2320,de
2321,solution
2322,.
2323,Les
2324,centres
2325,fermés
2326,n
2327,ont
2328,pas
2329,été
2330,construits
2331,.
2332,Moi
2333,je
2334,ferai
2335,si
2336,je
2337,suis
2338,élue
2339,Présidente
2340,de
2341,la
2342,République
2343,parce
2344,que
2345,je
2346,crois
2347,que
2348,la
2349,question
2350,de
2351,la
2352,lutte
2353,contre
2354,toutes
2355,les
2356,formes
2357,de
2358,violence
2359,et
2360,de
2361,délinquance
2362,et
2363,en
2364,particulier
2365,que
2366,le
2367,fait
2368,d
2369,éviter
2370,aux
2371,mineurs
2372,la
2373,prison
2374,doit
2375,appeler
2376,à
2377,des
2378,solutions
2379,novatrices
2380,.
2381,J
2382,ai
2383,parlé
2384,de
2385,l
2386,encadrement
2387,militaire
2388,pour
2389,les
2390,mineurs
2391,et
2392,je
2393,le
2394,mettrai
2395,en
2396,place
2397,.
2398,Les
2399,centres
2400,éducatifs
2401,renforcés
2402,seront
2403,effectivement
2404,créés
2405,.
2406,Des
2407,peines
2408,adaptées
2409,bien
2410,évidemment
2411,au
2412,premier
2413,délit
2414,seront
2415,exécutées
2416,car
2417,on
2418,sait
2419,bien
2420,que
2421,s
2422,il
2423,y
2424,a
2425,une
2426,réponse
2427,au
2428,premier
2429,acte
2430,de
2431,délinquance
2432,dans
2433,des
2434,cas
2435,il
2436,n
2437,y
2438,a
2439,pas
2440,de
2441,récidive
2442,.
2443,S
2444,il
2445,n
2446,y
2447,a
2448,pas
2449,de
2450,réponse
2451,au
2452,premier
2453,acte
2454,de
2455,délinquance
2456,dans
2457,des
2458,cas
2459,il
2460,y
2461,a
2462,récidive
2463,.
2464,Tout
2465,est
2466,à
2467,repenser
2468,dans
2469,ce
2470,domaine
2471,en
2472,particulier
2473,ma
2474,priorité
2475,sera
2476,sur
2477,la
2478,prévention
2479,et
2480,sur
2481,la
2482,sanction
2483,au
2484,premier
2485,acte
2486,de
2487,délinquance
2488,parce
2489,que
2490,je
2491,crois
2492,que
2493,c
2494,est
2495,comme
2496,cela
