position,texte,rien
1292,oui,oui
1293,j,j
1294,ai,avoir
1295,été,être
1296,ministre,ministre
1297,de,de
1298,l,l
1299,intérieur,intérieur
1300,pendant,pendant
1301,quatre,quatre
1302,ans,an
1303,j,j
1304,ai,avoir
1305,trouvé,trouver
1306,une,un
1307,situation,situation
1308,qui,qui
1309,était,être
1310,catastrophique,catastrophique
1311,qui,qui
1312,a,avoir
1313,compté,compter
1314,pour,pour
1315,beaucoup,beaucoup
1316,madame,madame
1317,royal,royal
1318,dans,dans
1319,la,le
1320,défaite,défaite
1321,de,de
1322,vos,votre
1323,amis,ami
1324,du,du
1325,gouvernement,gouvernement
1326,auquel,auquel
1327,vous,vous
1328,apparteniez,appartenir
1329,à,à
1330,l,l
1331,époque,époque
1332,.,.
1333,Si,si
1334,en,en
1335,les,le
1336,français,français
1337,ont,avoir
1338,changé,changer
1339,et,et
1340,n,n
1341,ont,avoir
1342,même,même
1343,pas,pas
1344,qualifié,qualifier
1345,le,le
1346,premier,premier
1347,ministre,ministre
1348,que,que
1349,vous,vous
1350,souteniez,soutenir
1351,pour,pour
1352,le,le
1353,deuxième,deuxième
1354,tour,tour
1355,il,il
1356,y,y
1357,avait,avoir
1358,bien,bien
1359,une,un
1360,raison,raison
1361,.,.
1362,Chacun,chacun
1363,l,l
1364,a,avoir
1365,observé,observer
1366,.,.
1367,C,c
1368,est,être
1369,parce,parce
1370,que,que
1371,les,le
1372,violences,violence
1373,et,et
1374,la,le
1375,délinquance,délinquance
1376,avaient,avoir
1377,explosé,exploser
1378,.,.
1379,C,c
1380,est,être
1381,dans,dans
1382,ces,ce
1383,conditions,condition
1384,que,que
1385,j,j
1386,ai,avoir
1387,été,être
1388,nommé,nommer
1389,ministre,ministre
1390,de,de
1391,l,l
1392,intérieur,intérieur
1393,.,.
1394,Tout,tout
1395,n,n
1396,a,avoir
1397,pas,pas
1398,été,être
1399,réussi,réussir
1400,.,.
1401,Il,il
1402,y,y
1403,a,avoir
1404,un,un
1405,point,point
1406,sur,sur
1407,lequel,lequel
1408,je,je
1409,suis,suivre|être
1410,d,d
1411,accord,accord
1412,.,.
1413,Sur,sur
