position,texte,rien
1281,Je,je
1282,crois,croire
1283,donc,donc
1284,que,que
1285,ce,ce
1286,n,n
1287,est,être
1288,pas,pas
1289,une,un
1290,menace,menace
1291,pour,pour
1292,la,le
1293,démocratie,démocratie
1294,mais,mais
1295,c,c
1296,est,être
1297,une,un
1298,blessure,blessure
1299,pour,pour
1300,nous,nous
1301,d,d
1302,autant,autant
1303,que,que
1304,ce,ce
1305,n,n
1306,est,être
1307,pas,pas
1308,le,le
1309,seul,seul
1310,attentat,attentat
1311,raciste,raciste
1312,ou,ou
1313,crime,crime
1314,raciste,raciste
1315,qui,qui
1316,se,se
1317,soit,être
1318,produit,produire
1319,dans,dans
1320,cette,ce
1321,campagne,campagne
1322,au,au
1323,cours,cour|cours
1324,des,du
1325,derniers,dernier
1326,mois,moi|mois
1327,.,.
1328,Il,il
1329,faut,falloir
1330,donc,donc
1331,se,se
1332,dresser,dresser
1333,avec,avec
1334,force,force
1335,avec,avec
1336,vigueur,vigueur
1337,contre,contre
1338,les,le
1339,thèses,thèse
1340,du,du
1341,racisme,racisme
1342,qui,qui
1343,chez,chez
1344,des,du
1345,individus,individu
1346,qui,qui
1347,visiblement,visiblement
1348,ne,ne
1349,maîtrisent,maîtriser
1350,pas,pas
1351,véritablement,véritablement
1352,ce,ce
1353,qu,qu
1354,ils,il
1355,sont,être
1356,peuvent,pouvoir
1357,avoir,avoir
1358,des,du
1359,conséquences,conséquence
1360,tragiques,tragique
1361,.,.
1362,Chirac,chirac
1363,sentiment,sentiment
1364,d,d
1365,horreur,horreur
1366,bien,bien
1367,entendu,entendre
1368,et,et
1369,désir,désir
1370,de,de
1371,voir,voir
1372,la,le
1373,police,police
1374,puis,puis
1375,la,le
1376,justice,justice
1377,faire,faire
1378,tout,tout
1379,leur,leur
1380,devoir,devoir
1381,et,et
1382,prendre,prendre
1383,des,du
1384,sanctions,sanction
1385,exemplaires,exemplaire
1386,contre,contre
1387,les,le
1388,auteurs,auteur
1389,de,de
1390,cet,ce
1391,assassinat,assassinat
1392,.,.
1393,On,on
1394,en,en
1395,arrive,arriver
1396,maintenant,maintenant
1397,à,à
1398,la,le
1399,conception,conception
1400,que,que
1401,vous,vous
1402,avez,avoir
1403,l,l
1404,un,un
1405,et,et
1406,l,l
1407,autre,autre
1408,de,de
1409,la,le
1410,présidence,présidence
1411,de,de
1412,la,le
1413,république,république
1414,.,.
1415,Tout,tout
1416,au,au
1417,long,long
1418,de,de
1419,cette,ce
1420,campagne,campagne
1421,chirac,chirac
1422,vous,vous
1423,avez,avoir
1424,parlé,parler
1425,de,de
1426,la,le
1427,démocratisation,démocratisation
1428,nécessaire,nécessaire
1429,du,du
1430,régime,régime
1431,de,de
1432,la,le
1433,monarchie,monarchie
